school_id,name,boards,number_of_boards,state,district,pincode,country,udise_plus_id,udise_code_masked,staffroom_url
sr92261,ACHARYA SHRIRAM VIDYALAYA,CBSE,1,MADHYA PRADESH,CHHATARPUR,471201,India,4031313,******18003,https://www.thestaffroom.in/school/acharya-shriram-vidyalaya~sr92261
sr92262,AAKAR PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,GWALIOR,475001,India,4050532,******05630,https://www.thestaffroom.in/school/aakar-public-school~sr92262
sr92263,MARTHOMA ACADEMY,CBSE,1,MADHYA PRADESH,INDORE,452010,India,3922925,******03735,https://www.thestaffroom.in/school/marthoma-academy~sr92263
sr92264,THE OMNI SCHOOL,CBSE,1,MADHYA PRADESH,INDORE,452002,India,4025310,******13710,https://www.thestaffroom.in/school/the-omni-school~sr92264
sr92265,ST.FRANCIS CONVENT SCHOOL BUDNI,CBSE,1,MADHYA PRADESH,SEHORE,466441,India,3954618,******00135,https://www.thestaffroom.in/school/st-francis-convent-school-budni~sr92265
sr92266,ST. MARTINS SCHOOL,CBSE,1,MADHYA PRADESH,UJJAIN,456771,India,3916102,******00194,https://www.thestaffroom.in/school/st-martins-school~sr92266
sr92267,ST. ELIZABETH CONVENT SCHOOL,CBSE,1,MADHYA PRADESH,INDORE,452001,India,3991162,******05706,https://www.thestaffroom.in/school/st-elizabeth-convent-school~sr92267
sr92268,SHREE SWAMI RAMANAND VIDYA SANKUL,CBSE,1,MADHYA PRADESH,GUNA,473115,India,,,https://www.thestaffroom.in/school/shree-swami-ramanand-vidya-sankul~sr92268
sr92269,CENTRAL PUBLIC SR. SEC. SCHOOL (CPS),CBSE,1,MADHYA PRADESH,REWA,486226,India,3957086,******10504,https://www.thestaffroom.in/school/central-public-sr-sec-school-cps~sr92269
sr92270,GYAN SAGAR INTERNATIONAL,CBSE,1,MADHYA PRADESH,DEWAS,455001,India,3998751,******34505,https://www.thestaffroom.in/school/gyan-sagar-international~sr92270
sr92271,DELHI WORLD PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,DEWAS,455001,India,3937986,******18513,https://www.thestaffroom.in/school/delhi-world-public-school~sr92271
sr92272,PLS INTERNATIONAL SCHOOL,CBSE,1,MADHYA PRADESH,BETUL,460449,India,3933810,******10524,https://www.thestaffroom.in/school/pls-international-school~sr92272
sr92273,DREAMZ PLAY (PUBLIC) SCHOOL,CBSE,1,MADHYA PRADESH,BETUL,460661,India,3972164,******14901,https://www.thestaffroom.in/school/dreamz-play-public-school~sr92273
sr92274,"DVM PUBLIC SCHOOL CHACHAI ROAD OPM AMLAI,DISTT SHAHDOL (M.P.)484117",CBSE,1,MADHYA PRADESH,SHAHDOL,484117,India,4029124,******09422,https://www.thestaffroom.in/school/dvm-public-school-chachai-road-opm-amlai-distt-shahdol-m-p-484117~sr92274
sr92275,SHRI VINAYAKAM SCHOOL,CBSE,1,MADHYA PRADESH,BETUL,460001,India,4045481,******24401,https://www.thestaffroom.in/school/shri-vinayakam-school~sr92275
sr92276,B.P.CHILDREN PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,INDORE,452005,India,3941417,******17645,https://www.thestaffroom.in/school/b-p-children-public-school~sr92276
sr92277,PANDIT NARMADA PRASAD MEMORIAL PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,NARSINGHPUR,487118,India,4012745,******04606,https://www.thestaffroom.in/school/pandit-narmada-prasad-memorial-public-school~sr92277
sr92278,GYAN SAGAR ANURAG HIGHER SECONDARY SCHOOL DUNDASEONI (KHAIRA PALARI),CBSE,1,MADHYA PRADESH,SEONI,480991,India,3953275,******25301,https://www.thestaffroom.in/school/gyan-sagar-anurag-higher-secondary-school-dundaseoni-khaira-palari~sr92278
sr92279,GYAN SAGAR PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,CHHINDWARA,480551,India,3999841,******32204,https://www.thestaffroom.in/school/gyan-sagar-public-school~sr92279
sr92280,DELHI PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,CHHATARPUR,471001,India,3923559,******09204,https://www.thestaffroom.in/school/delhi-public-school~sr92280
sr92281,RUKMANI ACADEMY,CBSE,1,MADHYA PRADESH,KHARGONE,451441,India,3987236,******04424,https://www.thestaffroom.in/school/rukmani-academy~sr92281
sr92282,INNOVATIVE INTERNATIONAL SCHOOL,CBSE,1,MADHYA PRADESH,INDORE,453220,India,4025222,******13804,https://www.thestaffroom.in/school/innovative-international-school~sr92282
sr92283,DELHI PUBLIC ELEMENTARY SCHOOL,CBSE,1,MADHYA PRADESH,INDORE,453111,India,3973616,******05406,https://www.thestaffroom.in/school/delhi-public-elementary-school~sr92283
sr92284,GYANODAYA INTERNATIONAL SCHOOL,CBSE,1,MADHYA PRADESH,NEEMUCH,458441,India,3969183,******01609,https://www.thestaffroom.in/school/gyanodaya-international-school~sr92284
sr92285,SATPURA ACADEMY,CBSE,1,MADHYA PRADESH,DEWAS,455001,India,3975983,******32909,https://www.thestaffroom.in/school/satpura-academy~sr92285
sr92286,VIDHYA VALLEY PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,SEHORE,466001,India,4036692,******00605,https://www.thestaffroom.in/school/vidhya-valley-public-school~sr92286
sr92287,SUNFLOWER ENG. MED.H.S.SCHOOL HARDA,CBSE,1,MADHYA PRADESH,HARDA,461331,India,,,https://www.thestaffroom.in/school/sunflower-eng-med-h-s-school-harda~sr92287
sr92288,JINDATTA INSTITUTE OF EDUCATION,CBSE,1,MADHYA PRADESH,UJJAIN,456443,India,3943881,******00187,https://www.thestaffroom.in/school/jindatta-institute-of-education~sr92288
