ib_code,name,address,district,state,pincode,pincode_source,programmes,ib_since,school_type,boarding,gender,teaching_languages,website,source_url,captured_on
050317,Focus High School,"Focus High School - MYP Campus, 22--8-321, Darushifa, Behind Salar Jung Museum, Hyderabad, Telangana",HYDERABAD,TELANGANA,500024,board,MYP / PYP,07 January 2017,PRIVATE,Day,Coeducational,English / Urdu,https://focushighschool.org,https://www.ibo.org/en/school/050317,2026-08-25
050346,Meridian School For Boys and Girls,"#8-2-541, Road No.7, Banjara Hills, Hyderabad, Telangana",HYDERABAD,TELANGANA,500034,board,PYP,19 March 2019,PRIVATE,Day,Coeducational,English / Hindi,https://meridianschool.in,https://www.ibo.org/en/school/050346,2026-08-25
050390,Neev Academy,"Sy.No.16, Yemalur - Kempapura Main Road, Opp. Sai Garden Appartments, Yemalur, Bangalore, Karnataka",BENGALURU URBAN,KARNATAKA,560037,board,DIPLOMA / MYP / PYP,21 April 2016,PRIVATE,Day,Coeducational,English,https://neevacademy.org,https://www.ibo.org/en/school/050390,2026-08-25
050406,Krishna Vikash Global School,"Krishna Vikash Global School, Veer Savarkar Nagar, Near Nandan Van, Raipur, Chhattisgarh",RAIPUR,CHHATTISGARH,492099,board,DIPLOMA / MYP / PYP,11 March 2016,PRIVATE,Day / Mixed,Coeducational,English,https://kvgsraipur.krishnavikash.com/ib/home,https://www.ibo.org/en/school/050406,2026-08-25
050426,"Heartfulness International School, Omega Branch","79, Omega school Road, Kolapakkam, Kovur Post, Chennai, Tamilnadu,Tamil Nadu",KANCHIPURAM,TAMIL NADU,600128,board,DIPLOMA,29 April 2015,PRIVATE,Day,Coeducational,English,https://www.hisomega.org,https://www.ibo.org/en/school/050426,2026-08-25
050469,"Oakridge International School, Mohali","Swara, Fatehgarh Sirhind Road, Near Landran, SAS Nagar, Greater Mohali, Punjab",S.A.S Nagar,PUNJAB,140307,board,DIPLOMA / PYP,23 November 2015,PRIVATE,Day,Coeducational,English,https://www.oakridge.in,https://www.ibo.org/en/school/050469,2026-08-25
050472,"Amity Global School, Noida","K block , gate no 6, Amity campus, sector 44, Noida, Noida, Uttar Pradesh, 201 301",GAUTAM BUDDHA NAGAR,UTTAR PRADESH,201301,india_post_directory,DIPLOMA / PYP,22 June 2021,PRIVATE,Boarding / Day,Coeducational,English,https://amityglobalschool.com/noida,https://www.ibo.org/en/school/050472,2026-08-25
050641,One World International School Sarjapur,"Sy No:188/3 & 188/4, Dommasandra village, Sarjapur Road, Bangalore East, Bangalore, Karnataka",BENGALURU URBAN,KARNATAKA,562125,board,DIPLOMA / MYP / PYP,22 April 2016,PRIVATE,Day,Coeducational,English / French,https://owis.org/in/bangalore/sarjapur/,https://www.ibo.org/en/school/050641,2026-08-25
050684,HERITAGE INTL XPERIENTIAL SCHOOL,"HIXS Middle and Senior Campus, Heritage Avenue near sec 58, Gurugram, Gurugram, Haryana",GURUGRAM,HARYANA,122102,board,DIPLOMA / PYP,27 March 2015,PRIVATE,Day,Coeducational,English / Hindi,https://www.hixs.org,https://www.ibo.org/en/school/050684,2026-08-25
050698,"Oakridge International School, Bengaluru","Near Dommasandra Circle, Varthur- Sarjapur Road, Bangalore, Karnataka",BENGALURU URBAN,KARNATAKA,562125,board,DIPLOMA / MYP / PYP,08 January 2016,PRIVATE,Boarding / Day,Coeducational,English,https://oakridge.in/bangalore/index.html,https://www.ibo.org/en/school/050698,2026-08-25
051051,Nahar International School,"Nahar's Amrit Shakti, Chandivali Farm Road, Off Saki Vihar Road, Mumbai, Andheri East,Mahrashtra",MUMBAI SUBURBAN,MAHARASHTRA,400072,board,DIPLOMA,12 July 2016,PRIVATE,Day,Coeducational,English,https://nahar-is.org,https://www.ibo.org/en/school/051051,2026-08-25
051086,Sanskar School,"117-121, Vishwamitra Marg, Hanuman Nagar Ext.,Sirsi Road, Jaipur, Rajasthan",JAIPUR,RAJASTHAN,302012,board,DIPLOMA / PYP,25 May 2016,PRIVATE,Day,Coeducational,English,https://sanskarjpr.com,https://www.ibo.org/en/school/051086,2026-08-25
051125,Smt. Sulochanadevi Singhania School (IBDP),"Pokharan Road No.1, J K Gram, Thane (West), Thane, Maharashtra",THANE,MAHARASHTRA,400606,board,DIPLOMA,25 February 2016,PRIVATE,None,Coeducational,English,https://singhaniaschoolibdp.org,https://www.ibo.org/en/school/051125,2026-08-25
051143,Delhi Public School Ghaziabad,"Site No.3, Meerut Road, Ghaziabad, Uttar Pradesh",GHAZIABAD,UTTAR PRADESH,201003,board,DIPLOMA,25 April 2016,PRIVATE,Day,Coeducational,English,https://dpsghaziabad.com,https://www.ibo.org/en/school/051143,2026-08-25
051172,DPSG International,"P O Dasna, Hindon Nagar, Dasna, Ghaziabad, Uttar Pradesh",GAUTAM BUDDHA NAGAR,UTTAR PRADESH,201302,board,PYP,22 June 2017,PRIVATE,Day,Coeducational,English,https://www.dpsgs.org/international,https://www.ibo.org/en/school/051172,2026-08-25
