centre_number,name,address,district,state,pincode,pincode_source,programmes,school_type,registered_on,website,source_url,captured_on
IA151,"Akshar Arbol International School, Injambakkam","Bethel Nagar North 9th Street, Injambakkam, Chennai-600115.",CHENNAI,TAMIL NADU,600115,board,Lower Secondary / Upper Secondary,Day school,2021-01-25,https://www.akshararbol.edu.in/,https://connectedtot.com/find-a-cambridge-school/Details/akshar-arbol-international-school-injambakkam/,2026-08-25
IA161,Ananthamurthy International School,TC 34/2503 Surya Nagar Vattiyoorkavu Thiruvananthapuram 695013,THIRUVANANTHAPURAM,KERALA,695013,board,Primary / Lower Secondary,Day school,2021-04-09,http://www.ananthamurthyacademy.org/,https://connectedtot.com/find-a-cambridge-school/Details/ananthamurthy-international-school/,2026-08-25
IA167,Gitanjali Vedika,"H.No 3-1, Narsingi, Puppalaguda Main Road, Hyderabad - 5000089",RANGA REDDY,TELANGANA,500089,india_post_directory,Primary,Day school,2021-08-04,https://www.gitanjalischools.com/schools/gitanjali-vedika,https://connectedtot.com/find-a-cambridge-school/Details/gitanjali-vedika/,2026-08-25
IA169,Ruh Continuum School,"Sf No 71/2 Vaigai Nagar, Pattanam to Vellore Road, Singanallur Coimbatore 641016",COIMBATORE,TAMIL NADU,641016,board,Early Years / Primary / Lower Secondary / Upper Secondary,Day school,2021-03-10,http://www.ruh.school/,https://connectedtot.com/find-a-cambridge-school/Details/ruh-continuum-school/,2026-08-25
IA170,National Model School,"S.F.No.696, Saitu Thottam, Westbrook, Ooty Main road, Kotagiri-643214",THE NILGIRIS,TAMIL NADU,643214,board,Early Years / Primary / Lower Secondary,Day school,2021-06-21,http://www.nationalmodelschools.edu.in/,https://connectedtot.com/find-a-cambridge-school/Details/national-model-school/,2026-08-25
IA171,Sparkling Mindz Global School,"8/4, Bidarahalli Hobli,Kannuru,Hennur-Bagalur Road,Bangalore 562149,Karnataka,India",BENGALURU URBAN,KARNATAKA,562149,board,Lower Secondary / Upper Secondary,,2021-07-14,http://www.sparklingmindz.in/,https://connectedtot.com/find-a-cambridge-school/Details/sparkling-mindz-global-school/,2026-08-25
IA172,SAI International School,"5 A Chandaka I.E Infocity Road,Bhubaneswar,Odisha 751024,India",KHORDHA,ODISHA,751024,board,Primary / Lower Secondary / Upper Secondary / Advanced,,2021-04-13,,https://connectedtot.com/find-a-cambridge-school/Details/sai-international-school/,2026-08-25
IA174,SAI Angan,"5 A Chandaka I.E,Infocity Road,Bhubaneswar,Odisha 751024,India",KHORDHA,ODISHA,751024,board,Early Years,Day school,2021-04-08,http://www.saiangan.co.in/,https://connectedtot.com/find-a-cambridge-school/Details/sai-angan/,2026-08-25
IA176,St Pius X International School,"St. Pius X International School, Near St. Pius X Church, Mulund West, Mumbai 400082",MUMBAI SUBURBAN,MAHARASHTRA,400082,board,Early Years / Primary / Lower Secondary,,2021-04-20,http://www.spxis.org/,https://connectedtot.com/find-a-cambridge-school/Details/st-pius-x-international-school/,2026-08-25
IA177,The Learning Curve International School,"Ca 7, 80Ft Road,2Nd Stage Vijayanagar,Mysore 570017,Karnataka,India",MYSURU,KARNATAKA,570017,board,Lower Secondary / Upper Secondary / Advanced,,2021-10-16,,https://connectedtot.com/find-a-cambridge-school/Details/the-learning-curve-international-school/,2026-08-25
IA181,Bhartiyam International School,"Rudrapur - Kiccha Road,Udham Singh Nagar,Rameshwarpur 263153,Uttarakhand,India",UDAM SINGH NAGAR,UTTARAKHAND,263153,board,Early Years,,2022-04-01,,https://connectedtot.com/find-a-cambridge-school/Details/bhartiyam-international-school/,2026-08-25
IA182,Oasis School,"6-27, Old Mumbai Hwy, Ambedkar Nagar, Shaikpet, Rai Durg, Hyderabad, Telangana 500104",RANGA REDDY,TELANGANA,500104,board,Primary / Lower Secondary,Day school,2021-10-07,http://www.oasisschoolonline.in/,https://connectedtot.com/find-a-cambridge-school/Details/oasis-school/,2026-08-25
IA183,The Premia Academy,"The Premia Academy, Pillar no :102, 501, Karwan Sahu Road, Attapur, Hyderabad -500008",HYDERABAD,TELANGANA,500008,board,Lower Secondary,Day school,2023-02-07,https://thepremiaacademy.com/,https://connectedtot.com/find-a-cambridge-school/Details/the-premia-academy/,2026-08-25
IA184,"The Indian Public School, Dindigul","SF NO.170/1A, 170/2A of Pallapatti Village, Palani main Road, Kottapatti post, Dindigul. Tamil Nadu - 642002",COIMBATORE,TAMIL NADU,642002,board,Primary,Day school,2022-11-03,http://www.tips-central.com/,https://connectedtot.com/find-a-cambridge-school/Details/the-indian-public-school-dindigul-1/,2026-08-25
IA189,The Harvee School,"261 A3, Engine Thottam, Amman Kovil Road, Kuniamuthur, Coimbatore, Tamil Nadu 641008",COIMBATORE,TAMIL NADU,641008,board,Early Years / Primary,Day school,2021-05-06,,https://connectedtot.com/find-a-cambridge-school/Details/the-harvee-school/,2026-08-25
IA190,"Indus Altum International School, Belagavi","Indus Altum International School, Belagavi Sy. No.30 Kattanabhavi Village, Hobli, Kakati, Belagavi, Karnataka 591143",BELAGAVI,KARNATAKA,591143,board,Early Years / Primary / Lower Secondary / Upper Secondary / Advanced,Fully residential,2021-07-21,https://iais.in/,https://connectedtot.com/find-a-cambridge-school/Details/indus-altum-international-school-belagavi/,2026-08-25
IA192,SR Prime School,"Hno:60-1-206/1 Battupally Road, Shyampet jagir, Hanamkonda Warangal-506003",HANUMAKONDA,TELANGANA,506003,board,Primary / Lower Secondary / Upper Secondary,Fully residential,2022-03-09,http://www.srprimeschool.com/,https://connectedtot.com/find-a-cambridge-school/Details/sr-prime-school/,2026-08-25
IA193,Candiidus International School,"Patancheru, Muthangi, Hyderabad, Telangana - 502300",SANGAREDDY,TELANGANA,502300,board,Early Years / Primary / Lower Secondary / Upper Secondary / Advanced,Day school,2022-02-10,https://candiidusschool.com/,https://connectedtot.com/find-a-cambridge-school/Details/candiidus-international-school/,2026-08-25
