cisce_code,name,address,locality,district,state,pincode,pincode_source,courses,classification,gender,on_current_register,latitude,longitude,website,source_url,captured_on
TN122,Dr. Abdul Kalam International School And Research Academy,"Kottaram, Kanyakumari, Tamil Nadu, 629703, India",Kottaram,Kanyakumari,Tamil Nadu,629703,board,ICSE,Day,Co-ed.,true,8.1192145,77.5276577,https://www.akints.com,https://locate.cisce.org/,2026-08-25
TN123,Sidharajaa International School,"Sivakasi, Virudhunagar, Tamil Nadu, 626123, India",Sivakasi,Virudhunagar,Tamil Nadu,626123,board,ICSE,Day,Co-ed.,true,9.4592898,77.7921981,https://www.sidharajaaschool.com,https://locate.cisce.org/,2026-08-25
TN124,Bharathi School,"Coimbatore, Coimbatore, Tamil Nadu, 641013, India",Coimbatore,Coimbatore,Tamil Nadu,641013,board,ICSE / ISC,Day,Co-ed.,true,11.0229883,76.9364305,,https://locate.cisce.org/,2026-08-25
TN125,Yashas English School,"SRIVILLIPUTTUR, Virudhunagar, Tamil Nadu, 626125, India",SRIVILLIPUTTUR,Virudhunagar,Tamil Nadu,626125,board,ICSE / ISC,Day,Co-ed.,true,9.5092403,77.6334199,http://www.yashasschool.org/,https://locate.cisce.org/,2026-08-25
TN126,Santhome International School,"SATHYAMANGALAM, Erode, Tamil Nadu, 638402, India",SATHYAMANGALAM,Erode,Tamil Nadu,638402,board,ICSE,Day,Co-ed.,true,11.5034192,77.2444348,,https://locate.cisce.org/,2026-08-25
TN127,Vista Billabong High International School,"Chennai, Kanchipuram, Tamil Nadu, 600100, India",Chennai,Kanchipuram,Tamil Nadu,600100,board,ICSE / ISC,Day,Co-ed.,true,12.9259883,80.1896991,https://www.vistabillabongschool.com/,https://locate.cisce.org/,2026-08-25
TN128,Vinmeen School,"NAGERCOIL, Kanyakumari, Tamil Nadu, 629003, India",NAGERCOIL,Kanyakumari,Tamil Nadu,629003,board,ICSE,Day,Co-ed.,true,8.1673625,77.4281406,https://WWW.Vinmeenschool.com,https://locate.cisce.org/,2026-08-25
TN129,The Oakrich International School,"Hosur, Krishnagiri, Tamil Nadu, 635109, India",Hosur,Krishnagiri,Tamil Nadu,635109,board,ICSE,Day,Co-ed.,true,12.7176816,77.8170449,https://www.toishosur.com,https://locate.cisce.org/,2026-08-25
TN130,St . Mary's English School,"Shoolagiri, Krishnagiri, Tamil Nadu, 635117, India",Shoolagiri,Krishnagiri,Tamil Nadu,635117,board,ICSE,Day,Co-ed.,true,12.800671,77.9932454,,https://locate.cisce.org/,2026-08-25
TN131,St. Ann's School,"Thoothukudi, Thoothukudi, Tamil Nadu, 628002, India",Thoothukudi,Thoothukudi,Tamil Nadu,628002,board,ICSE / ISC,Day,Co-ed.,true,8.838679,78.1051246,https://www.stannsschoolthooththukkudi.com,https://locate.cisce.org/,2026-08-25
TN132,Siragu Montessori School,"Chennai, Tiruvallur, Tamil Nadu, 600055, India",Chennai,Tiruvallur,Tamil Nadu,600055,board,ICSE / ISC,Day/Residential,Co-ed.,true,13.1467864,80.0727624,https:// www.tn132ciscse.org,https://locate.cisce.org/,2026-08-25
TN133,Mater Dei International School,"COIMBATORE, Coimbatore, Tamil Nadu, 641016, India",COIMBATORE,Coimbatore,Tamil Nadu,641016,board,ICSE,Day,Co-ed.,true,10.9994134,77.0641399,https://www.materdeiicsecbe.com,https://locate.cisce.org/,2026-08-25
TN134,Ashvattha School,"Madurai, Madurai, Tamil Nadu, 625003, India",Madurai,Madurai,Tamil Nadu,625003,board,ICSE / ISC,Day,Co-ed.,true,9.923248,78.0796589,https://www.ashvatthaschool.com,https://locate.cisce.org/,2026-08-25
TN135,Vellore International School,"Chennai, Kanchipuram, Tamil Nadu, 603110, India",Chennai,Kanchipuram,Tamil Nadu,603110,board,ICSE / ISC,Residential,Co-ed.,true,10.4712706,79.5753594,https://www.vischennai.ac.in,https://locate.cisce.org/,2026-08-25
TN136,Nachiyar Padasala International School,"Tiruppur, Tiruppur, Tamil Nadu, 641608, India",Tiruppur,Tiruppur,Tamil Nadu,641608,board,ICSE / ISC,Day,Co-ed.,true,11.0919365,77.3572774,https://nachiyarpadasala.com,https://locate.cisce.org/,2026-08-25
TN137,Brindavan's Kids University School,"Kovilpatti, Thoothukudi, Tamil Nadu, 628502, India",Kovilpatti,Thoothukudi,Tamil Nadu,628502,board,ICSE / ISC,Day,Co-ed.,true,9.1612524,77.8650641,,https://locate.cisce.org/,2026-08-25
TN138,St. Joseph's Convent School,"Coonoor, Nilgiris, Tamil Nadu, 643101, India",Coonoor,Nilgiris,Tamil Nadu,643101,board,ICSE,Day/Boarding,Co-ed.,true,11.3474385,76.795988,http://stjosephsconventicsecoonoor.in,https://locate.cisce.org/,2026-08-25
TN139,Notre Dame Academy,"KRISHNAGIRI, Krishnagiri, Tamil Nadu, 635206, India",KRISHNAGIRI,Krishnagiri,Tamil Nadu,635206,board,ICSE,Day,Co-ed.,true,12.3257378,78.3593336,,https://locate.cisce.org/,2026-08-25
TN140,Shree Sai Vidhyalaya School,"Karur, Karur, Tamil Nadu, 639120, India",Karur,Karur,Tamil Nadu,639120,board,ICSE,Day,Co-ed.,true,10.909788,78.3806684,,https://locate.cisce.org/,2026-08-25
TN141,Golden International School,"Nagercoil, Kanyakumari, Tamil Nadu, 629166, India",Nagercoil,Kanyakumari,Tamil Nadu,629166,board,ICSE / ISC,Day,Co-ed.,true,8.1839247,77.4118411,http://www.goldeninternationalschool.edu.in,https://locate.cisce.org/,2026-08-25
TN142,Shaanthi School,"Udumalpet, Tiruppur, Tamil Nadu, 642128, India",Udumalpet,Tiruppur,Tamil Nadu,642128,board,ICSE,Day,Co-ed.,true,10.5830412,77.2929403,https://www.shaanthi.com,https://locate.cisce.org/,2026-08-25
TN143,Exponics Academy,"Coimbatore, Coimbatore, Tamil Nadu, 641104, India",Coimbatore,Coimbatore,Tamil Nadu,641104,board,ICSE,Day,Co-ed.,true,11.0302205,76.9754772,https://internationalcommunutyschool.org,https://locate.cisce.org/,2026-08-25
TN144,St. Ann's School,"Tirunelveli, Tirunelveli, Tamil Nadu, 627109, India",Tirunelveli,Tirunelveli,Tamil Nadu,627109,board,ICSE,Day,Co-ed.,true,8.3049741,77.5712556,https://www.stannsicsepanagudi.com/,https://locate.cisce.org/,2026-08-25
TN145,Aurobana Indian School,"Madurai, Madurai, Tamil Nadu, 625010, India",Madurai,Madurai,Tamil Nadu,625010,board,ICSE,Day,Co-ed.,true,9.9267477,78.0948804,https://aurobanaindian.org/,https://locate.cisce.org/,2026-08-25
TN146,Sunbeam International School,"VELLORE, Vellore, Tamil Nadu, 632006, India",VELLORE,Vellore,Tamil Nadu,632006,board,ICSE,Day,Co-ed.,true,12.9533968,79.1405079,https://www.sbisvellore.com,https://locate.cisce.org/,2026-08-25
TN147,G. D. School,"Coimbatore, Coimbatore, Tamil Nadu, 641018, India",Coimbatore,Coimbatore,Tamil Nadu,641018,board,ICSE / ISC,Day,Co-ed.,true,11.001666,76.964875,https://www.gdschoolcbe.com,https://locate.cisce.org/,2026-08-25
